,name,album_name,release_date,popularity,duration,danceability,valence,tempo,key,acousticness
0,Last Train Home,Sob Rock,2021-07-16,67,187306,0.591,0.678,93.007,E,0.235
1,Shouldn't Matter but It Does,Sob Rock,2021-07-16,62,236733,0.549,0.268,80.888,E,0.457
2,New Light,Sob Rock,2021-07-16,75,217426,0.826,0.852,123.932,G,0.316
3,Why You No Love Me,Sob Rock,2021-07-16,58,255213,0.635,0.501,97.988,A,0.387
4,Wild Blue,Sob Rock,2021-07-16,63,252413,0.816,0.876,123.027,C,0.557
5,Shot in the Dark,Sob Rock,2021-07-16,62,249080,0.741,0.587,122.008,D,0.0629
6,I Guess I Just Feel Like,Sob Rock,2021-07-16,69,286386,0.548,0.166,159.952,E,0.515
7,Til the Right One Comes,Sob Rock,2021-07-16,60,219226,0.807,0.925,112.985,D#/Eb,0.242
8,Carry Me Away,Sob Rock,2021-07-16,64,159133,0.677,0.744,119.997,E,0.0117
9,All I Want Is to Be With You,Sob Rock,2021-07-16,58,244200,0.522,0.304,93.049,C,0.106
10,Still Feel Like Your Man,The Search for Everything,2017-04-14,59,234920,0.858,0.515,106.023,D,0.547
11,Emoji of a Wave,The Search for Everything,2017-04-14,56,239666,0.494,0.191,165.764,B,0.772
12,Helpless,The Search for Everything,2017-04-14,55,249120,0.76,0.937,103.977,A,0.151
13,Love on the Weekend,The Search for Everything,2017-04-14,65,212320,0.718,0.422,119.971,G,0.623
14,In the Blood,The Search for Everything,2017-04-14,61,243666,0.546,0.518,80.007,G#/Ab,0.386
15,Changing,The Search for Everything,2017-04-14,53,213080,0.43,0.393,183.674,C,0.583
16,"Theme from ""The Search for Everything""",The Search for Everything,2017-04-14,45,111773,0.595,0.362,90.973,G,0.896
17,Moving On and Getting Over,The Search for Everything,2017-04-14,57,265360,0.85,0.621,94.037,F#/Gb,0.591
18,Never on the Day You Leave,The Search for Everything,2017-04-14,55,220866,0.536,0.22,139.888,D,0.733
19,Rosie,The Search for Everything,2017-04-14,59,240626,0.758,0.758,138.9,G,0.489
20,Roll it on Home,The Search for Everything,2017-04-14,53,202813,0.612,0.712,154.945,D,0.623
21,You're Gonna Live Forever in Me,The Search for Everything,2017-04-14,73,190013,0.542,0.319,136.161,G,0.983
22,Wildfire,Paradise Valley,2013-08-20,59,253493,0.719,0.763,96.999,G#/Ab,0.15
23,Dear Marie,Paradise Valley,2013-08-20,57,222720,0.601,0.494,94.999,A,0.796
24,Waitin' On The Day,Paradise Valley,2013-08-20,54,273066,0.656,0.305,119.996,G,0.797
25,Paper Doll,Paradise Valley,2013-08-20,55,257386,0.658,0.685,153.851,G,0.521
26,Call Me The Breeze,Paradise Valley,2013-08-20,48,205360,0.628,0.892,174.096,C#/Db,0.424
27,Who You Love (feat. Katy Perry),Paradise Valley,2013-08-20,63,249933,0.694,0.691,145.907,A,0.813
28,I Will Be Found (Lost At Sea),Paradise Valley,2013-08-20,52,241346,0.563,0.277,139.863,F,0.415
29,Wildfire (feat. Frank Ocean),Paradise Valley,2013-08-20,55,85840,0.505,0.371,85.953,G,0.893
30,You're No One 'Til Someone Lets You Down,Paradise Valley,2013-08-20,43,165000,0.578,0.807,96.122,C,0.306
31,Badge And Gun,Paradise Valley,2013-08-20,44,192306,0.611,0.429,128.89,G,0.863
32,On The Way Home,Paradise Valley,2013-08-20,45,239546,0.0,0.0,0.0,D,0.618
33,Queen of California,Born and Raised,2012-05-18,58,250133,0.536,0.707,83.048,E,0.638
34,The Age of Worry,Born and Raised,2012-05-18,52,157586,0.508,0.294,67.339,G,0.342
35,Shadow Days,Born and Raised,2012-05-18,51,228173,0.52,0.254,146.944,D,0.0736
36,Speak For Me,Born and Raised,2012-05-18,45,224680,0.687,0.173,112.951,A,0.572
37,Something Like Olivia,Born and Raised,2012-05-18,61,180626,0.771,0.638,98.795,G,0.595
38,Born and Raised,Born and Raised,2012-05-18,55,287640,0.656,0.313,131.8,C,0.355
39,If I Ever Get Around To Living,Born and Raised,2012-05-18,47,321720,0.559,0.316,80.014,C,0.532
40,Love Is A Verb,Born and Raised,2012-05-18,58,144400,0.738,0.461,65.977,A,0.445
41,"Walt Grace's Submarine Test, January 1967",Born and Raised,2012-05-18,49,307986,0.44,0.281,159.887,F#/Gb,0.798
42,"Whiskey, Whiskey, Whiskey",Born and Raised,2012-05-18,47,278666,0.414,0.185,113.108,E,0.294
43,A Face To Call Home,Born and Raised,2012-05-18,46,285306,0.529,0.275,136.071,D,0.305
44,Born and Raised - Reprise,Born and Raised,2012-05-18,42,120706,0.71,0.638,107.983,G,0.646
45,Heartbreak Warfare,Battle Studies,2009-11-13,64,269720,0.624,0.311,97.031,D,0.191
46,All We Ever Do Is Say Goodbye,Battle Studies,2009-11-13,51,275266,0.559,0.327,129.881,F,0.288
47,Half of My Heart,Battle Studies,2009-11-13,64,250373,0.681,0.731,115.058,F,0.435
48,Who Says,Battle Studies,2009-11-13,63,175480,0.584,0.367,90.457,D,0.267
49,Perfectly Lonely,Battle Studies,2009-11-13,56,268093,0.678,0.678,91.779,C,0.00987
50,Assassin,Battle Studies,2009-11-13,48,314853,0.54,0.593,159.929,B,0.302
51,Crossroads,Battle Studies,2009-11-13,48,149386,0.894,0.916,114.216,G,0.221
52,War of My Life,Battle Studies,2009-11-13,47,255120,0.763,0.474,117.938,F#/Gb,0.354
53,Edge of Desire,Battle Studies,2009-11-13,60,332066,0.606,0.455,66.443,A,0.326
54,Do You Know Me,Battle Studies,2009-11-13,44,150320,0.538,0.272,79.929,E,0.887
55,"Friends, Lovers or Nothing",Battle Studies,2009-11-13,47,359240,0.526,0.388,134.332,A,0.0266
56,"Neon - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,53,355733,0.435,0.497,83.622,C,0.48
57,"Stop This Train - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,51,300200,0.426,0.363,91.882,D,0.598
58,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,56,345626,0.372,0.297,92.72,E,0.714
59,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,50,304600,0.546,0.407,121.743,D,0.766
60,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,71,263573,0.315,0.435,173.509,F,0.771
61,"Everyday I Have The Blues - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,45,254266,0.356,0.456,98.272,C,0.00412
62,"Wait Until Tomorrow - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,45,259160,0.491,0.738,117.92,C#/Db,0.0151
63,"Who Did You Think I Was - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,46,263373,0.249,0.448,96.474,G,0.0139
64,"Come When I Call - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,45,203493,0.787,0.658,112.984,G,0.38
65,"Good Love Is On the Way - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,46,258933,0.227,0.383,186.651,D,0.011
66,"Out of My Mind - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,44,610533,0.394,0.239,108.334,G,0.403
67,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,48,319933,0.745,0.609,99.939,A,0.357
68,"Bold as Love - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,44,517973,0.385,0.339,104.537,C#/Db,0.05
69,"Waiting On the World to Change - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,46,230800,0.544,0.537,88.194,D,0.144
70,"Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,54,319226,0.514,0.453,133.861,C#/Db,0.2
71,"Why Georgia - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,47,267400,0.421,0.418,99.429,G,0.0217
72,"The Heart of Life - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,45,220133,0.258,0.33,180.805,C#/Db,0.776
73,"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,46,362573,0.25,0.57,172.183,B,0.0575
74,"Gravity - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,52,581066,0.46,0.295,115.802,G,0.614
75,"I Don't Trust Myself (With Loving You) - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,47,524893,0.605,0.462,83.945,A,0.441
76,"Belief - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,46,363440,0.592,0.387,101.245,D,0.273
77,"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,44,340626,0.391,0.36,143.646,A,0.725
78,Waiting On the World to Change,Continuum,2006-09-11,72,201173,0.578,0.663,176.739,D,0.157
79,I Don't Trust Myself (With Loving You),Continuum,2006-09-11,56,292013,0.842,0.604,84.026,A,0.638
80,Belief,Continuum,2006-09-11,55,242333,0.664,0.841,101.346,F,0.033
81,Gravity,Continuum,2006-09-11,71,245826,0.753,0.237,123.799,G,0.731
82,The Heart of Life,Continuum,2006-09-11,62,198200,0.495,0.357,175.958,C#/Db,0.958
83,Vultures,Continuum,2006-09-11,57,250840,0.881,0.803,97.807,E,0.476
84,Stop This Train,Continuum,2006-09-11,63,285053,0.619,0.408,89.508,G,0.465
85,Slow Dancing in a Burning Room,Continuum,2006-09-11,73,242000,0.667,0.29,134.018,C#/Db,0.575
86,Bold as Love,Continuum,2006-09-11,52,258160,0.439,0.4,125.897,C#/Db,0.0995
87,Dreaming with a Broken Heart,Continuum,2006-09-11,61,245746,0.61,0.155,136.012,C,0.554
88,In Repair,Continuum,2006-09-11,51,367813,0.427,0.394,145.099,D,0.0538
89,I'm Gonna Find Another You,Continuum,2006-09-11,55,163026,0.511,0.269,75.328,A,0.821
90,"Only Heart - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",As/Is - Live,2004-10-19,26,312226,0.527,0.782,122.709,G,0.000524
91,"My Stupid Mouth - Live at Tweeter Center, Philadelphia, Pennsylvania, August 2004",As/Is - Live,2004-10-19,25,289906,0.41,0.467,90.758,D,0.11
92,"No Such Thing - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",As/Is - Live,2004-10-19,25,234640,0.466,0.56,133.551,A,0.00469
93,"Covered in Rain - Live at Tweeter Center, Philadelphia, Pennsylvania, August 2004",As/Is - Live,2004-10-19,31,531560,0.471,0.298,137.348,A#/Bb,0.00987
94,"Split Screen Sadness - Live at Shoreline Amphitheater, Mountain View, CA, July 16, 2004",As/Is - Live,2004-10-19,25,357000,0.535,0.245,107.985,G,0.0514
95,"Blues Intro - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",As/Is - Live,2004-10-19,28,195933,0.545,0.787,156.963,F,0.0195
96,"Come Back to Bed - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",As/Is - Live,2004-10-19,27,717466,0.426,0.33,115.695,A,0.0475
97,"Your Body Is a Wonderland - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",As/Is - Live,2004-10-19,27,249693,0.59,0.591,95.031,F,0.0339
98,"Something's Missing - Live at Riverbend Music Center, Cincinnati, Ohio, August 3, 2004",As/Is - Live,2004-10-19,24,543640,0.354,0.285,152.508,C#/Db,0.0195
99,"Inner City Blues (Make Me Wanna Holler) - Live at Sandstone Amphitheater, Bonner Springs, Kansas, July 27, 2004",As/Is - Live,2004-10-19,28,420066,0.568,0.632,94.36,A#/Bb,0.192
100,"Clarity - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",As/Is - Live,2004-10-19,25,549373,0.464,0.361,94.77,B,0.00818
101,"3x5 - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",As/Is - Live,2004-10-19,25,349000,0.314,0.377,99.749,G#/Ab,0.234
102,"Home Life - Acoustic - Live at Shoreline Amphitheater, Mountain View, CA, July 16, 2004",As/Is - Live,2004-10-19,23,413466,0.424,0.381,111.465,A#/Bb,0.692
103,"Comfortable - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",As/Is - Live,2004-10-19,24,297066,0.282,0.293,171.081,F,0.671
104,"Neon - Live at Cynthia Woods Mitchell Pavilion, Woodlands, Texas, July 24, 2004",As/Is - Live,2004-10-19,24,305626,0.431,0.577,110.464,G#/Ab,0.5
105,"Only Heart - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004","As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,22,310346,0.533,0.819,122.745,G,0.000439
106,"New Deep - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004","As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,23,330693,0.512,0.795,147.369,D,0.264
107,"No Such Thing - Live in Ohio, August 2004","As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,21,236440,0.459,0.426,132.291,A,0.0159
108,"Something's Missing - Live at Riverbend Music Center, Cincinnati, Ohio, August 3, 2004","As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,22,542613,0.371,0.276,147.45,C#/Db,0.0195
109,"My Stupid Mouth - Live in Ohio, August 2004","As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,21,252173,0.432,0.434,90.306,G,0.123
110,"Daughters - Live in Ohio, August 2004","As/Is: Live In Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,23,497586,0.452,0.203,122.058,A,0.098
